NOTA;ID interno;HACIA;DESDE;CANTIDAD;ID EXT OT
FW25_VIGENTE;100100;TIENDA_CENTRO;DEP_CENTRAL;3;OT-DC-CEN-20260118_224714-0001
SS26;100100;TIENDA_CENTRO;DEP_CENTRAL;1;OT-DC-CEN-20260118_224714-0002
NOOS;100100;TIENDA_CENTRO;DEP_CENTRAL;12;OT-DC-CEN-20260118_224714-0003
NOOS;100100;TIENDA_NORTE;DEP_CENTRAL;7;OT-DC-NOR-20260118_224714-0004
NOOS;100100;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260118_224714-0005
FW25_VIGENTE;100100;TIENDA_SUR;DEP_CENTRAL;6;OT-DC-SUR-20260118_224714-0006
NOOS;100200;TIENDA_CENTRO;DEP_CENTRAL;6;OT-DC-CEN-20260118_224714-0007
FW25_VIGENTE;100200;TIENDA_CENTRO;DEP_CENTRAL;5;OT-DC-CEN-20260118_224714-0008
SS26;100200;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260118_224714-0009
SS26;100200;TIENDA_NORTE;DEP_CENTRAL;7;OT-DC-NOR-20260118_224714-0010
NOOS;100200;TIENDA_NORTE;DEP_CENTRAL;8;OT-DC-NOR-20260118_224714-0011
FW25_VIGENTE;100200;TIENDA_NORTE;DEP_CENTRAL;13;OT-DC-NOR-20260118_224714-0012
SS26;100200;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260118_224714-0013
NOOS;100200;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260118_224714-0014
FW25_VIGENTE;100200;TIENDA_OCCIDENTE;DEP_CENTRAL;4;OT-DC-OCC-20260118_224714-0015
FW25_VIGENTE;100200;TIENDA_SUR;DEP_CENTRAL;11;OT-DC-SUR-20260118_224714-0016
SS26;100200;TIENDA_SUR;DEP_CENTRAL;1;OT-DC-SUR-20260118_224714-0017
FW25_VIGENTE;100300;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260118_224714-0018
SS26;100300;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260118_224714-0019
NOOS;100300;TIENDA_CENTRO;DEP_CENTRAL;2;OT-DC-CEN-20260118_224714-0020
NOOS;100300;TIENDA_NORTE;DEP_CENTRAL;23;OT-DC-NOR-20260118_224714-0021
FW25_VIGENTE;100300;TIENDA_NORTE;DEP_CENTRAL;7;OT-DC-NOR-20260118_224714-0022
SS26;100300;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260118_224714-0023
FW25_VIGENTE;100300;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260118_224714-0024
FW25_VIGENTE;100300;TIENDA_SUR;DEP_CENTRAL;7;OT-DC-SUR-20260118_224714-0025
NOOS;100300;TIENDA_SUR;DEP_CENTRAL;7;OT-DC-SUR-20260118_224714-0026
SS26;100300;TIENDA_SUR;DEP_CENTRAL;6;OT-DC-SUR-20260118_224714-0027
SS26;100400;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260118_224714-0028
NOOS;100400;TIENDA_CENTRO;DEP_CENTRAL;3;OT-DC-CEN-20260118_224714-0029
NOOS;100400;TIENDA_NORTE;DEP_CENTRAL;6;OT-DC-NOR-20260118_224714-0030
SS26;100400;TIENDA_NORTE;DEP_CENTRAL;5;OT-DC-NOR-20260118_224714-0031
FW25_VIGENTE;100400;TIENDA_NORTE;DEP_CENTRAL;15;OT-DC-NOR-20260118_224714-0032
SS26;100400;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260118_224714-0033
NOOS;100400;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260118_224714-0034
NOOS;100400;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260118_224714-0035
SS26;100400;TIENDA_SUR;DEP_CENTRAL;14;OT-DC-SUR-20260118_224714-0036
FW25_VIGENTE;100500;TIENDA_CENTRO;DEP_CENTRAL;2;OT-DC-CEN-20260118_224714-0037
NOOS;100500;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260118_224714-0038
SS26;100500;TIENDA_NORTE;DEP_CENTRAL;8;OT-DC-NOR-20260118_224714-0039
FW25_VIGENTE;100500;TIENDA_NORTE;DEP_CENTRAL;4;OT-DC-NOR-20260118_224714-0040
NOOS;100500;TIENDA_NORTE;DEP_CENTRAL;8;OT-DC-NOR-20260118_224714-0041
NOOS;100500;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260118_224714-0042
NOOS;100500;TIENDA_SUR;DEP_CENTRAL;10;OT-DC-SUR-20260118_224714-0043
SS26;100500;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260118_224714-0044
